OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,City,State,Region,Country,ProductID,Quantity,UnitPrice,Discount,SalesAmount,CostAmount,Profit,PaymentMethod,ReturnStatus,ManagerEmail
ORD-20240247,2024-01-02,2024-01-04,First Class,CUST-1090,Emily Taylor,Bengaluru,KA,South,India,PRD-106,8,316.82,0.0,2534.56,1920.0,614.56,UPI,Delivered,south.manager@ysm.com
ORD-20240081,2024-01-02,2024-01-07,First Class,CUST-1057,Valued Customer,Mumbai,MH,West,India,PRD-112,8,337.37,0.15,2294.12,2240.0,54.12,Net Banking,In Transit,west.manager@ysm.com
ORD-20240173,2024-01-02,2024-01-06,Same Day,CUST-1040,Valued Customer,Mumbai,MH,West,India,PRD-106,9,299.64,0.1,2427.08,2160.0,267.08,UPI,Returned,west.manager@ysm.com
ORD-20240233,2024-01-03,2024-01-09,First Class,CUST-1075,Aarav Jones,Chicago,IL,US-Central,USA,PRD-112,5,408.49,0.15,1736.08,1400.0,336.08,UPI,In Transit,us.manager@ysm.com
ORD-20240082,2024-01-03,2024-01-08,Same Day,CUST-1085,Priya Patel,Ahmedabad,GJ,West,India,PRD-112,10,362.64,0.15,3082.44,2800.0,282.44,Cash on Delivery,Delivered,west.manager@ysm.com
ORD-20240097,2024-01-04,2024-01-05,First Class,CUST-1074,Ananya Jones,Singapore,SG,Asia-Pac,Singapore,PRD-106,10,320.77,0.2,2566.16,2400.0,166.16,Credit Card,In Transit,apac.manager@ysm.com
ORD-20240189,2024-01-04,2024-01-06,Standard Class,CUST-1018,Rohan Patel,London,LDN,Europe,UK,PRD-103,10,1186.16,0.1,10675.44,8000.0,2675.44,Cash on Delivery,Returned,europe.manager@ysm.com
ORD-20240334,2024-01-06,2024-01-10,Second Class,CUST-1039,Pooja Taylor,Mumbai,MH,West,India,PRD-110,7,232.29,0.05,1544.73,1050.0,494.73,Cash on Delivery,Returned,west.manager@ysm.com
ORD-20240210,2024-01-07,2024-01-13,Same Day,CUST-1087,Vikram Iyer,Berlin,BER,Europe,Germany,PRD-106,3,379.19,0.1,1023.81,720.0,303.81,UPI,Delivered,europe.manager@ysm.com
ORD-20240273,2024-01-07,2024-01-13,Same Day,CUST-1096,Valued Customer,Mumbai,MH,West,India,PRD-113,7,660.98,0.15,3932.83,3150.0,782.83,Net Banking,Returned,west.manager@ysm.com
ORD-20240266,2024-01-08,2024-01-13,Second Class,CUST-1013,Kavita Johnson,Chennai,TN,South,India,PRD-102,5,1412.01,0.05,6707.05,4750.0,1957.05,Net Banking,Delivered,south.manager@ysm.com
ORD-20240301,2024-01-10,2024-01-16,Second Class,CUST-1020,Rohan Wilson,Mumbai,LDN,Europe,UK,PRD-105,4,100.15,0.15,340.51,280.0,60.51,UPI,Returned,europe.manager@ysm.com
ORD-20240327,2024-01-12,2024-01-17,Second Class,CUST-1019,Fatima Khan,New York,NY,US-East,USA,PRD-103,8,1250.19,0.05,9501.44,6400.0,3101.44,UPI,Returned,us.manager@ysm.com
ORD-20240053,2024-01-12,2024-01-13,Second Class,CUST-1096,Valued Customer,Mumbai,MH,West,India,PRD-102,5,1490.46,0.1,6707.07,4750.0,1957.07,Cash on Delivery,Delivered,west.manager@ysm.com
ORD-20240063,2024-01-14,2024-01-19,First Class,CUST-1048,Valued Customer,Mumbai,MH,West,India,PRD-115,10,50.48,0.05,479.56,350.0,129.56,Net Banking,Delivered,west.manager@ysm.com
ORD-20240280,2024-01-14,2024-01-16,Same Day,CUST-1050,Valued Customer,Mumbai,MH,West,India,PRD-106,6,346.04,0.05,1972.43,1440.0,532.43,UPI,Delivered,west.manager@ysm.com
ORD-20240322,2024-01-15,2024-01-16,Second Class,CUST-1018,Rohan Patel,London,LDN,Europe,UK,PRD-113,3,653.43,0.0,1960.29,1350.0,610.29,Cash on Delivery,Delivered,europe.manager@ysm.com
ORD-20240085,2024-01-17,2024-01-23,First Class,CUST-1069,Rahul Khan,Mumbai,MH,West,India,PRD-105,2,93.27,0.0,186.54,140.0,46.54,Credit Card,Delivered,west.manager@ysm.com
ORD-20240108,2024-01-19,2024-01-23,Same Day,CUST-1087,Vikram Iyer,Berlin,BER,Europe,Germany,PRD-105,9,103.98,0.0,935.82,630.0,305.82,Credit Card,Delivered,europe.manager@ysm.com
ORD-20240343,2024-01-19,2024-01-23,First Class,CUST-1019,Fatima Khan,New York,NY,US-East,USA,PRD-103,8,1012.34,0.15,6883.91,6400.0,483.91,Credit Card,Delivered,us.manager@ysm.com
ORD-20240344,2024-01-21,2024-01-25,First Class,CUST-1022,Michael Iyer,Chennai,TN,South,India,PRD-104,9,95.73,0.15,732.33,540.0,192.33,Cash on Delivery,Delivered,south.manager@ysm.com
ORD-20240176,2024-01-21,2024-01-25,Second Class,CUST-1028,Priya Singh,London,LDN,Europe,UK,PRD-101,7,1121.62,0.0,7851.34,5950.0,1901.34,UPI,Delivered,europe.manager@ysm.com
ORD-20240246,2024-01-22,2024-01-25,First Class,CUST-1010,Emily Johnson,Kolkata,WB,East,India,PRD-112,8,391.34,0.05,2974.18,2240.0,734.18,Credit Card,In Transit,east.manager@ysm.com
ORD-20240036,2024-01-22,2024-01-25,Second Class,CUST-1042,Valued Customer,Mumbai,MH,West,India,PRD-107,4,505.68,0.05,1921.58,1520.0,401.58,Credit Card,Returned,west.manager@ysm.com
