CustomerID,CustomerName,Segment,City,State,Country,Region,PostalCode
CUST-1001,Sneha Sharma,Home Office,Kolkata,WB,India,East,356787
CUST-1002,Pooja Gupta,Home Office,Mumbai,MH,India,West,809570
CUST-1003,Fatima Patel,,Ahmedabad,GJ,India,West,133326
CUST-1004,Aarav Patel,Corporate,Chennai,TN,India,South,629903
CUST-1005,Kavita Sharma,Home Office,Chennai,TN,India,South,850800
CUST-1006,Fatima Brown,,New York,NY,USA,US-East,717889
CUST-1007,Rohan Sharma,Corporate,Berlin,BER,Germany,Europe,543143
CUST-1008,John Iyer,Corporate,Chennai,TN,India,South,900581
CUST-1009,,Corporate,Ahmedabad,GJ,India,West,201414
CUST-1010,Emily Johnson,Home Office,Kolkata,WB,India,East,946335
CUST-1011,Priya Jones,Home Office,,MH,,West,496922
CUST-1012,,Consumer,Dubai,DXB,UAE,Asia-Pac,759176
CUST-1013,Kavita Johnson,,Chennai,TN,India,South,838797
CUST-1014,Rahul Verma,Home Office,Chennai,TN,India,South,910620
CUST-1015,Ananya Patel,Corporate,Dubai,DXB,UAE,Asia-Pac,205907
CUST-1016,Michael Iyer,,London,,UK,Europe,974628
CUST-1017,Emily Deshmukh,,Chandigarh,CH,,North,319684
CUST-1018,Rohan Patel,,London,LDN,UK,Europe,279451
CUST-1019,Fatima Khan,Corporate,New York,NY,USA,US-East,
CUST-1020,Rohan Wilson,Corporate,,LDN,UK,Europe,440035
CUST-1021,Priya Khan,Corporate,Singapore,SG,Singapore,Asia-Pac,430776
CUST-1022,Michael Iyer,,Chennai,TN,India,South,694731
CUST-1023,John Kapoor,Home Office,New York,NY,USA,US-East,514850
CUST-1024,David Gupta,Consumer,Bengaluru,KA,India,South,358607
CUST-1025,Fatima Wilson,Consumer,Berlin,BER,Germany,Europe,712982
CUST-1026,Sarah Taylor,Consumer,Chandigarh,CH,India,North,329974
CUST-1027,Vikram Davis,,Mumbai,MH,India,West,892495
CUST-1028,Priya Singh,Corporate,London,LDN,UK,Europe,267753
CUST-1029,Sarah Anderson,Corporate,Ahmedabad,GJ,India,West,500156
CUST-1030,Kavita Jones,Home Office,Kolkata,WB,India,East,680099
CUST-1031,Aarav Singh,Home Office,San Francisco,CA,USA,US-West,887352
,Rohan Smith,Corporate,Kolkata,WB,India,,555884
CUST-1033,Neha Jones,Corporate,Berlin,BER,Germany,Europe,854639
CUST-1034,Rohan Davis,Corporate,San Francisco,CA,USA,US-West,211579
CUST-1035,Ananya Davis,Home Office,Chennai,TN,India,South,260263
CUST-1036,Emily Deshmukh,Home Office,Singapore,,Singapore,Asia-Pac,656116
CUST-1037,Aarav Anderson,Consumer,New York,NY,USA,US-East,120422
CUST-1038,Sneha Johnson,Consumer,Chennai,TN,India,South,160738
